model,BRITS,BRITS,CSDI,CSDI,GPVAE,GPVAE,SAITS,SAITS
,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
Feature,,,,,,,,
H2OC (mmol/mol),0.2812785077847171,0.4358923623293483,0.1045502833587838,0.1774599980377385,1.8324883418252271,2.4234946435720435,0.4679192262958674,0.6724717747983666
OT,17.48736753733913,309.60177921872247,12.163978901180723,311.2872843961065,21.775903984884664,308.83322582382164,16.40834381632214,318.48542024236826
OVERALL (Average),11.657763386109762,102.07478032051893,9.129497727729548,104.21835192434904,31.876160313927265,135.86987080249733,11.041241060766652,105.95722691901526
PAR (�mol/m�/s),46.52671848885608,98.59665070523872,36.47171870441656,101.02946025272968,179.19845896983944,275.302443812245,52.77142835954515,123.8795617085526
SWDR (W/m�),25.276293055137774,51.99079904450138,19.41149137689328,52.94554581437698,91.10621859541534,140.82391946655918,27.26474296068487,64.29034542170365
T (degC),0.5283804605125844,0.797671008963564,0.2091927997620618,0.2978831407398126,3.3083812413521954,4.1231001575156485,0.7789784742849831,1.043874814428332
Tdew (degC),0.5835334197251506,0.8117203514705931,0.1638625080717536,0.2498820272879423,2.7355715891864096,3.511582395965723,0.7526656924053456,1.0190262398316856
Tlog (degC),1.079342281983495,1.5469395470847065,0.2975184344632559,0.4422921051310262,3.4950012845017087,4.416595221423344,0.8710656118588002,1.2481390053285268
Tpot (K),0.5353840998189415,0.8091752516976257,0.2147131675705975,0.3058387776991836,3.4353286007384742,4.275884974691974,0.8069517199479356,1.0800344518202194
VPact (mbar),0.2857878658633859,0.4353138598132909,0.1011528439012888,0.1734267158646622,1.811140634028774,2.3938708286511217,0.4664900524987535,0.6709342382718472
VPdef (mbar),0.4548974150610685,0.7239960700580224,0.2516163234686939,0.4364951851111796,2.328997409374339,3.8663575514250224,0.4917365620153383,0.9425332777535168
VPmax (mbar),0.4873608104426402,0.7799102964777481,0.2091735127743238,0.3483273543516939,3.2643920163212825,4.795329628166642,0.7550972155458379,1.188088512232958
max. PAR (�mol/m�/s),84.97216372571586,316.2882900222246,59.03367346152282,321.23310259670137,220.7001855442064,419.09370443735486,71.5954720443102,321.1934839932682
max. wv (m/s),0.8687878375024976,1.2669837651311124,0.8022953499544488,1.1384038883237118,1.7778266372609528,2.2408152720989625,0.7282604156496331,1.076539565379265
p (mbar),1.2671124947950718,1.9587026672111427,0.208394419903389,0.3271223307354928,6.733928117816445,8.608913006137108,0.9606269111932262,1.6103541179348893
rain (mm),0.0118097841097572,0.1196074197817555,0.0110129504691827,0.116406891805703,0.014049593575136,0.1226524955462357,0.0103291195033213,0.1147995778906476
raining (s),19.01938175106655,70.56433906476319,19.34558604764441,86.36437133006139,32.66180653259804,108.92975972811584,16.334032214079567,77.75790281156459
rh (%),2.726441288264894,3.568447736766472,1.20702521218299,1.7081272026043195,10.545600658704789,12.831324214477329,1.9530299905819724,2.9983918090945254
rho (g/m**3),2.7857908594294343,4.2258452946767155,1.185706643002812,1.7253635546438064,17.772087139867537,22.24189275866448,3.9146535731362215,5.188272894329319
sh (g/kg),0.175039933026875,0.2735690978098584,0.0665644431600421,0.1131776567992581,1.1528813137810148,1.5250154536416265,0.3045014291636167,0.4357643619762357
wd (deg),38.74489703078105,60.01896987718711,39.60367869681698,75.18190265961634,61.225659211982915,80.23608543927175,33.55711411022432,61.0876117755681
wv (m/s),0.7350111178904648,43.88769995067212,0.6687793241371258,43.9678964951535,2.565831346647934,44.1358449027938,0.688887867385643,43.88767168601829
