Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),7.556191518614702,97.19336265685568,0.5
p (mbar),0.4249198238527172,0.8961002562090926,0.5
T (degC),0.14845161396009593,0.35649745156390306,0.5
Tpot (K),0.15140222640443976,0.3578361441609525,0.5
Tdew (degC),0.22383269541579054,0.4198359345291933,0.5
rh (%),1.1173744223883293,1.7896346658616953,0.5
VPmax (mbar),0.15787648118876388,0.38672451457902984,0.5
VPact (mbar),0.08815460057768104,0.2008562137166108,0.5
VPdef (mbar),0.15893014770093714,0.38315159766853546,0.5
sh (g/kg),0.05167327789357443,0.12370459412050588,0.5
H2OC (mmol/mol),0.08250117831804514,0.19589351978964134,0.5
rho (g/m**3),0.82089216369343,1.8676410859154249,0.5
wv (m/s),0.5917194442422977,45.11361263445979,0.5
max. wv (m/s),0.6473036712385616,0.9645332045988301,0.5
wd (deg),31.00481005996106,55.191450889726475,0.5
rain (mm),0.011190322651909822,0.11841624451106114,0.5
raining (s),15.037303921328853,58.0592533811249,0.5
SWDR (W/m�),13.40479501745066,36.40328686091395,0.5
PAR (�mol/m�/s),24.144211624916228,68.84015844849178,0.5
max. PAR (�mol/m�/s),56.420686794275426,303.0683870337888,0.5
Tlog (degC),0.3751082727471361,0.7498572998959644,0.5
OT,13.642351748122397,303.4184407239616,0.5
