Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),9.129497727729548,104.21835192434904,0.7
p (mbar),0.20839441990338903,0.32712233073549285,0.7
T (degC),0.20919279976206184,0.2978831407398126,0.7
Tpot (K),0.21471316757059758,0.3058387776991836,0.7
Tdew (degC),0.16386250807175365,0.24988202728794232,0.7
rh (%),1.20702521218299,1.7081272026043197,0.7
VPmax (mbar),0.20917351277432383,0.34832735435169393,0.7
VPact (mbar),0.10115284390128884,0.17342671586466224,0.7
VPdef (mbar),0.2516163234686939,0.43649518511117963,0.7
sh (g/kg),0.06656444316004212,0.11317765679925813,0.7
H2OC (mmol/mol),0.10455028335878384,0.17745999803773854,0.7
rho (g/m**3),1.185706643002812,1.7253635546438064,0.7
wv (m/s),0.6687793241371258,43.9678964951535,0.7
max. wv (m/s),0.8022953499544488,1.1384038883237118,0.7
wd (deg),39.60367869681698,75.18190265961634,0.7
rain (mm),0.011012950469182797,0.11640689180570303,0.7
raining (s),19.34558604764441,86.36437133006139,0.7
SWDR (W/m�),19.41149137689328,52.94554581437698,0.7
PAR (�mol/m�/s),36.47171870441656,101.02946025272969,0.7
max. PAR (�mol/m�/s),59.03367346152282,321.23310259670137,0.7
Tlog (degC),0.2975184344632559,0.4422921051310262,0.7
OT,12.163978901180723,311.2872843961065,0.7
