Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),26.116890493899376,118.50295463939204,0.5
p (mbar),6.252182972403478,8.021247468156202,0.5
T (degC),2.0255011925008235,2.6946438261881855,0.5
Tpot (K),2.1006825921068275,2.789426119556941,0.5
Tdew (degC),1.791110278392679,2.488881917061184,0.5
rh (%),8.448477252915616,10.37371063227464,0.5
VPmax (mbar),2.0667132061127194,3.358269844402701,0.5
VPact (mbar),1.176006519947196,1.6737433354210287,0.5
VPdef (mbar),1.7030335581240452,2.9230117634855723,0.5
sh (g/kg),0.7449032605940082,1.0636027878449332,0.5
H2OC (mmol/mol),1.186473295859053,1.6932405842567513,0.5
rho (g/m**3),12.069042903064728,15.597069025001822,0.5
wv (m/s),2.6073167033578444,45.42259998469779,0.5
max. wv (m/s),1.682644470927382,2.1570995744863515,0.5
wd (deg),60.83330319918097,79.72483386063041,0.5
rain (mm),0.014150059852457564,0.11867180177629258,0.5
raining (s),32.71546015508736,104.4003781848361,0.5
SWDR (W/m�),71.78588582121915,111.11687572815174,0.5
PAR (�mol/m�/s),141.1647554671066,216.71335203747307,0.5
max. PAR (�mol/m�/s),174.94907574151216,370.2546860408003,0.5
Tlog (degC),2.276203557807808,2.9966635990818,0.5
OT,20.920018769284752,280.65987311436584,0.5
