Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),6.615873978621561,98.77667691345754,0.3
p (mbar),0.32477771806610667,0.42260365552070267,0.3
T (degC),0.3157963463681994,0.38611671307247036,0.3
Tpot (K),0.3045079911187788,0.3760890832862716,0.3
Tdew (degC),0.23760782089071925,0.2934651729476419,0.3
rh (%),0.9600457415508482,1.2214454943490423,0.3
VPmax (mbar),0.30252621815699354,0.43638532507853445,0.3
VPact (mbar),0.15360146622301862,0.20476097794111603,0.3
VPdef (mbar),0.2224887370729713,0.36532115525983444,0.3
sh (g/kg),0.0995237118964486,0.13436492495731214,0.3
H2OC (mmol/mol),0.15942012563429198,0.21389974463513892,0.3
rho (g/m**3),1.3266339127672104,1.6076305638922237,0.3
wv (m/s),0.5520965972964769,43.02512476344494,0.3
max. wv (m/s),0.524141717133558,0.7438253701315517,0.3
wd (deg),26.57694102207799,55.702957701397885,0.3
rain (mm),0.008120817384129259,0.10088174490608734,0.3
raining (s),10.499792546872253,53.407311364153244,0.3
SWDR (W/m�),13.692818775806694,31.820746793889732,0.3
PAR (�mol/m�/s),26.047270938632302,60.34027716543911,0.3
max. PAR (�mol/m�/s),41.421701514040684,304.0426898709302,0.3
Tlog (degC),0.32332634240813923,0.4347545275993347,0.3
OT,14.90315436297449,316.24291085087725,0.3
